auxerre, batisse_road, (-7143218, 10600, 3255712)
marseille, eco, (-6396224, 5061, 9646803)
marseille, hotel, (-5910429, 2365, 9990061)
marseille, man_dlr, (-5935780, 2250, 9983792)
marseille, service, (-5935780, 2250, 9983792)
nantes, priv_farm, (-12003702, 7379, 3808009)
nantes, priv_farm, (-12024221, 7379, 3805517)
nantes, priv_farm, (-12494684, 5405, 3728526)
nantes, tree_et, (-12492188, 5405, 3725608)
nice, hotel, (-4110448, 3643, 9585488)
nice, priv_farm, (-4157016, 4608, 9444342)
nice, priv_home, (-4073846, 3643, 9562072)
nice, service, (-4118966, 4608, 9505438)
nynashamn, hotel, (6383240, 1814, -11834954)
nyons, batisse_road, (-6073693, 11007, 8574292)
nyons, sellplan, (-5959128, 11591, 8598467)
orebro, hotel, (4436114, 3072, -12438753)
oslo, renault_dlr, (495522, 2816, -13712138)
paluel, priv_farm, (-8449033, 3866, 194640)
paris, eco, (-7459000, 12800, 2132365)
paris, eco, (-7472007, 6144, 202300)
paris, eco, (-7560032, 12800, 2160143)
paris, eco, (-7572620, 6144, 229978)
paris, eco, (-7637799, 12326, 2651391)
paris, eco, (-7675373, 12326, 2613681)
paris, renault_dlr, (-7385753, 11840, 1266102)
paris, service, (-7385753, 11840, 1266102)
poissy, eco, (-8093730, 10752, 1195745)
pont_lab, batisse_road, (-7138462, 2048, 8014390)
prague, renault_dlr, (3787806, 18565, 975819)
prague, service, (3787806, 18565, 975819)
reims, eco, (-6711661, 11078, 1571391)
reims, eco, (-6717253, 11078, 1523460)
rosans, bona_terra, (-5750427, 17105, 8559949)
rousset, priv_home, (-4758956, 9376, 8555858)
selles_cher, priv_home, (-9076533, 2508, 3766988)
st_cere, priv_home, (-9138857, 9472, 7485161)
stockholm, hotel, (6288254, 0, -12268988)
tuttlingen, batisse_road, (-1817587, 9596, 4008187)
uppsala, hotel, (6117714, 4094, -13216824)
urbise, priv_home, (-6880194, 7680, 5551717)
vasteraas, hotel, (5385710, 2753, -12907350)
warszawa, autoworld, (9446075, 11004, -2421747)
